id,referee,timezone,date,kick_off,venue_id,venue,city,elapsed_time,extra_time,league_id,league,season,stage,home_team_id,home_team,away_team_id,away_team,home_ft,away_ft,home_ht,away_ht,home_et,away_et,home_pen,away_pen
1314870,B. Speedie,UTC,2024-12-01,12:00:00,6184,Latimer Park,"Kettering, Northamptonshire",120,,45,FA Cup,2024,2nd Round,8654,Kettering Town,1354,Doncaster,1,1,1,0,0,1,,
1314863,T. Nield,UTC,2024-12-01,13:00:00,501,Bloomfield Road,"Blackpool, Lancashire",90,9,45,FA Cup,2024,2nd Round,1356,Blackpool,54,Birmingham,1,2,0,2,,,,
1208145,"Stuart Attwell, England",UTC,2024-12-01,13:30:00,519,Stamford Bridge,London,90,4,39,Premier League,2024,Regular Season - 13,49,Chelsea,66,Aston Villa,3,0,2,0,,,,
1208148,"John Brooks, England",UTC,2024-12-01,13:30:00,556,Old Trafford,Manchester,90,4,39,Premier League,2024,Regular Season - 13,33,Manchester United,45,Everton,4,0,2,0,,,,
1208150,"Darren Bond, England",UTC,2024-12-01,13:30:00,593,Tottenham Hotspur Stadium,London,90,8,39,Premier League,2024,Regular Season - 13,47,Tottenham,36,Fulham,1,1,0,0,,,,
1314862,T. Kirk,UTC,2024-12-01,14:00:00,513,Pirelli Stadium,"Burton-upon-Trent, Staffordshire",120,,45,FA Cup,2024,2nd Round,748,Burton Albion,7752,Tamworth,0,0,0,0,1,1,3,4
1314871,D. Bourne,UTC,2024-12-01,14:00:00,12052,Select Car Leasing Stadium,"Reading, Berkshire",120,,45,FA Cup,2024,2nd Round,53,Reading,8812,Harborough Town,3,3,1,2,2,0,,
1314869,M. Russell,UTC,2024-12-01,15:15:00,19204,ARMCO Arena,"Solihull, West Midlands",90,5,45,FA Cup,2024,2nd Round,1834,Solihull Moors,1832,Bromley,1,2,1,1,,,,
1208147,"Chris Kavanagh, England",UTC,2024-12-01,16:00:00,550,Anfield,Liverpool,90,4,39,Premier League,2024,Regular Season - 13,40,Liverpool,50,Manchester City,2,0,1,0,,,,
1208158,"Craig Pawson, England",UTC,2024-12-03,19:30:00,545,Portman Road,"Ipswich, Suffolk",90,4,39,Premier League,2024,Regular Season - 14,57,Ipswich,52,Crystal Palace,0,1,0,0,,,,
1208159,"Josh Smith, England",UTC,2024-12-03,20:15:00,547,King Power Stadium,"Leicester, Leicestershire",90,11,39,Premier League,2024,Regular Season - 14,46,Leicester,48,West Ham,3,1,1,0,,,,
1208156,"Salisbury Michael, England",UTC,2024-12-04,19:30:00,8560,Goodison Park,Liverpool,90,5,39,Premier League,2024,Regular Season - 14,45,Everton,39,Wolves,4,0,2,0,,,,
1208160,"Michael Oliver, England",UTC,2024-12-04,19:30:00,555,Etihad Stadium,Manchester,90,5,39,Premier League,2024,Regular Season - 14,50,Manchester City,65,Nottingham Forest,3,0,2,0,,,,
1208161,"Andy Madley, England",UTC,2024-12-04,19:30:00,562,St. James' Park,Newcastle upon Tyne,90,6,39,Premier League,2024,Regular Season - 14,34,Newcastle,40,Liverpool,3,3,1,0,,,,
1208162,"Tony Harrington, England",UTC,2024-12-04,19:30:00,585,St. Mary's Stadium,"Southampton, Hampshire",90,6,39,Premier League,2024,Regular Season - 14,41,Southampton,49,Chelsea,1,5,1,3,,,,
1208154,"Samuel Barrott, England",UTC,2024-12-04,20:15:00,494,Emirates Stadium,London,90,5,39,Premier League,2024,Regular Season - 14,42,Arsenal,33,Manchester United,2,0,0,0,,,,
1208155,"Lewis Smith, England",UTC,2024-12-04,20:15:00,495,Villa Park,Birmingham,90,6,39,Premier League,2024,Regular Season - 14,66,Aston Villa,55,Brentford,3,1,3,0,,,,
1208157,"Peter Bankes, England",UTC,2024-12-05,19:30:00,535,Craven Cottage,London,90,7,39,Premier League,2024,Regular Season - 14,36,Fulham,51,Brighton,3,1,1,0,,,,
1208153,"Simon Hooper, England",UTC,2024-12-05,20:15:00,504,Vitality Stadium,"Bournemouth, Dorset",90,6,39,Premier League,2024,Regular Season - 14,35,Bournemouth,47,Tottenham,1,0,1,0,,,,
1208166,M. Oliver,UTC,2024-12-07,12:30:00,8560,Goodison Park,Liverpool,,,39,Premier League,2024,Regular Season - 15,45,Everton,40,Liverpool,,,,,,,,
1208163,"Darren Bond, England",UTC,2024-12-07,15:00:00,495,Villa Park,Birmingham,90,,39,Premier League,2024,Regular Season - 15,66,Aston Villa,41,Southampton,1,0,1,0,,,,
1208164,"Simon Hooper, England",UTC,2024-12-07,15:00:00,10503,Gtech Community Stadium,"Brentford, Middlesex",90,6,39,Premier League,2024,Regular Season - 15,55,Brentford,34,Newcastle,4,2,2,2,,,,
1208165,"Robert Jones, England",UTC,2024-12-07,15:00:00,525,Selhurst Park,London,90,5,39,Premier League,2024,Regular Season - 15,52,Crystal Palace,50,Manchester City,2,2,1,1,,,,
1208170,"Darren England, England",UTC,2024-12-07,17:30:00,556,Old Trafford,Manchester,90,8,39,Premier League,2024,Regular Season - 15,33,Manchester United,65,Nottingham Forest,2,3,1,1,,,,
